Epoch,Train Loss,Valid Loss,Eval Score
0,0.6080622090958059,0.4256292840708857,0.49852815
1,0.26499554968904704,0.1422887635619744,0.6786528
2,0.11305574851576239,0.08215547239650851,0.7100298
3,0.08952598215546459,0.07094064881296261,0.7211925
4,0.08250275530735962,0.06532258418915064,0.7322064
5,0.0777616240811767,0.063839223154861,0.735532
6,0.07662399089895189,0.06234864331781864,0.73515993
7,0.07600445827119984,0.06223718546654867,0.7379246
8,0.07547240653366316,0.062016352768177574,0.7383234
9,0.07580757979303598,0.06207394162597864,0.7387053
10,0.0760554949665675,0.06218089681604634,0.73762083
11,0.0754510649421718,0.0619410525035599,0.7374611
12,0.07573702257650439,0.06213989270770032,0.7363065
